subject;timepoint;event;region;signal
s13;18;stim;parietal;-0.017551581538
s5;14;stim;parietal;-0.0808829319505
s12;18;stim;parietal;-0.0810330187333
s11;18;stim;parietal;-0.04613439017519999
s10;18;stim;parietal;-0.037970203264199996
s9;18;stim;parietal;-0.10351309616
s8;18;stim;parietal;-0.0644081947232
s7;18;stim;parietal;-0.0605262017124
s6;18;stim;parietal;-0.00702856091007
s5;18;stim;parietal;-0.0405568546157
s4;18;stim;parietal;-0.04881219994659999
s3;18;stim;parietal;-0.0471481458275
s2;18;stim;parietal;-0.08662295949179999
s1;18;stim;parietal;-0.046659046163800004
s0;18;stim;parietal;-0.0755699759477
s13;17;stim;parietal;-0.00826462526111
s12;17;stim;parietal;-0.08851175012250001
s7;9;stim;parietal;0.058896545296999996
s10;17;stim;parietal;-0.016846516627
s9;17;stim;parietal;-0.12157375579000004
s8;17;stim;parietal;-0.0762871207962
s7;17;stim;parietal;-0.043812021381900004
s6;17;stim;parietal;-0.014746389298100003
s5;17;stim;parietal;-0.0566820608044
s4;17;stim;parietal;-0.044581900875900006
s3;17;stim;parietal;-0.0535140677471
s2;17;stim;parietal;-0.07729240018860001
s1;17;stim;parietal;-0.0380205789406
s0;17;stim;parietal;-0.07130038539780001
s13;16;stim;parietal;-0.00285629387119
s12;16;stim;parietal;-0.08994336333610001
s11;16;stim;parietal;-0.04958703583380001
s10;16;stim;parietal;-0.013566317631600001
s9;16;stim;parietal;-0.131640690822
s8;16;stim;parietal;-0.0930243109477
s7;16;stim;parietal;-0.021897157826900004
s8;9;stim;parietal;0.170226886344
s5;16;stim;parietal;-0.0641378420404
s4;16;stim;parietal;-0.047433168385500005
s3;16;stim;parietal;-0.0710224022162
s2;16;stim;parietal;-0.06499816929169999
s1;16;stim;parietal;-0.0613560305246
s0;16;stim;parietal;-0.057715066878199994
s13;15;stim;parietal;-0.0109714632203
s12;15;stim;parietal;-0.08069796317139999
s11;15;stim;parietal;-0.07211219404710001
s10;15;stim;parietal;-0.028809304808099997
s9;15;stim;parietal;-0.134828403383
s8;15;stim;parietal;-0.112577596942
s7;15;stim;parietal;-0.00938312919114
s6;15;stim;parietal;-0.06872022524669999
s5;15;stim;parietal;-0.0705615378511
s4;15;stim;parietal;-0.0560310534918
s3;15;stim;parietal;-0.09073518152820001
s2;15;stim;parietal;-0.0554618569331
s1;15;stim;parietal;-0.110742321796
s0;15;stim;parietal;-0.053078664772300006
s13;14;stim;parietal;-0.0337133890149
s12;14;stim;parietal;-0.0682973367158
s11;14;stim;parietal;-0.11446883040400001
s10;14;stim;parietal;-0.0522877238724
s9;14;stim;parietal;-0.1302665983
s8;14;stim;parietal;-0.128447530062
s7;14;stim;parietal;-0.0151398384821
s6;14;stim;parietal;-0.09884463355350001
s11;17;stim;parietal;-0.041960488856
s4;14;stim;parietal;-0.0639904071723
s0;0;stim;frontal;-0.0214524594615
s3;14;stim;parietal;-0.110040787828
s1;14;stim;parietal;-0.169311681158
s0;14;stim;parietal;-0.052418751534199996
s13;13;stim;parietal;-0.0686374735514
s12;13;stim;parietal;-0.056306337975
s11;13;stim;parietal;-0.157834186994
s10;13;stim;parietal;-0.0738923487842
s9;13;stim;parietal;-0.119383455482
s8;13;stim;parietal;-0.1239496932
s7;13;stim;parietal;-0.030026322192
s6;13;stim;parietal;-0.133170667646
s5;13;stim;parietal;-0.0949707046582
s4;13;stim;parietal;-0.0747598671492
s3;13;stim;parietal;-0.1165517168
s2;13;stim;parietal;-0.052655737335700004
s1;13;stim;parietal;-0.224351323052
s1;0;stim;parietal;-0.064454004861
s13;12;stim;parietal;-0.10098417524900001
s12;12;stim;parietal;-0.052295304632900004
s11;12;stim;parietal;-0.178509701862
s10;12;stim;parietal;-0.08723241384569999
s9;12;stim;parietal;-0.09778899569380001
s8;12;stim;parietal;-0.0925108486782
s7;12;stim;parietal;-0.0403852425182
s6;12;stim;parietal;-0.150693428305
s5;12;stim;parietal;-0.11049636909000002
s4;12;stim;parietal;-0.0900360515443
s3;12;stim;parietal;-0.09130095093839999
s2;12;stim;parietal;-0.056376647172
s1;12;stim;parietal;-0.25548585958000003
s0;12;stim;parietal;-0.0529114831434
s13;11;stim;parietal;-0.11257541213
s12;11;stim;parietal;-0.05662844770740001
s11;11;stim;parietal;-0.150709342539
s10;11;stim;parietal;-0.0780802842964
s9;11;stim;parietal;-0.072241225574
s8;11;stim;parietal;-0.0280246228922
s7;11;stim;parietal;-0.030991180776400007
s6;11;stim;parietal;-0.134795422743
s5;11;stim;parietal;-0.120694930753
s4;11;stim;parietal;-0.12854654313
s3;11;stim;parietal;-0.023273732815200003
s2;11;stim;parietal;-0.0734168172716
s1;11;stim;parietal;-0.238473764277
s0;11;stim;parietal;-0.0514694724514
s13;10;stim;parietal;-0.0745026100443
s12;10;stim;parietal;-0.0669700192247
s11;10;stim;parietal;-0.072780476678
s10;10;stim;parietal;-0.0417023096317
s9;10;stim;parietal;-0.0323796382167
s8;10;stim;parietal;0.0651975099421
s7;10;stim;parietal;0.0016484911058300001
s6;10;stim;parietal;-0.0754333889525
s5;10;stim;parietal;-0.114761917544
s4;10;stim;parietal;-0.15265246158
s3;10;stim;parietal;0.0892314787638
s2;10;stim;parietal;-0.0876876805188
s1;10;stim;parietal;-0.13304099332699998
s0;10;stim;parietal;-0.04791497301580002
s13;9;stim;parietal;0.0132453345685
s12;9;stim;parietal;-0.0623350210256
s11;9;stim;parietal;0.0454185313729
s10;9;stim;parietal;0.0310064467776
s9;9;stim;parietal;0.029052961628
s2;14;stim;parietal;-0.052874529950099995
s6;9;stim;parietal;0.00901740401094
s7;3;stim;parietal;0.00954793068239
s0;7;stim;parietal;0.0743427528433
s3;9;stim;parietal;0.22171613873000004
s2;9;stim;parietal;-0.082613396203
s1;9;stim;parietal;0.057891763880400016
s0;9;stim;parietal;-0.035586997112500005
s13;8;stim;parietal;0.130991047051
s12;8;stim;parietal;-0.0275774798409
s11;8;stim;parietal;0.169673297351
s10;8;stim;parietal;0.136290736966
s9;8;stim;parietal;0.121580532588
s8;8;stim;parietal;0.263207487992
s7;8;stim;parietal;0.13317559372999999
s6;8;stim;parietal;0.112147204561
s5;8;stim;parietal;0.006805135398060001
s4;8;stim;parietal;0.017534785968
s3;8;stim;parietal;0.337143297554
s6;2;stim;parietal;-0.0307806076045
s1;8;stim;parietal;0.29463915741999996
s0;8;stim;parietal;0.00510065001767
s13;7;stim;parietal;0.24074707368599998
s12;7;stim;parietal;0.0501726783253
s11;7;stim;parietal;0.254042321237
s10;7;stim;parietal;0.245641759705
s9;7;stim;parietal;0.23823081561999998
s8;7;stim;parietal;0.312811033675
s7;7;stim;parietal;0.198789642958
s6;7;stim;parietal;0.214479570066
s5;7;stim;parietal;0.119176862322
s4;7;stim;parietal;0.22044852459199998
s3;7;stim;parietal;0.39046573376000004
s2;7;stim;parietal;0.0457436269453
s1;7;stim;parietal;0.494786865197
s4;9;stim;parietal;-0.11424198196699999
s13;6;stim;parietal;0.291884318776
s12;5;stim;parietal;0.24813800944800002
s2;6;stim;frontal;0.10105043220599999
s1;6;stim;parietal;0.564984721448
s2;6;stim;parietal;0.143436119997
s3;6;stim;parietal;0.340479918138
s4;6;stim;parietal;0.40584005702799997
s5;6;stim;parietal;0.22149288327799999
s12;6;stim;parietal;0.157799926472
s7;6;stim;parietal;0.218061194469
s8;6;stim;parietal;0.298009042033
s9;6;stim;parietal;0.34591807436800004
s10;6;stim;parietal;0.296960232897
s11;6;stim;parietal;0.262771101488
s0;6;stim;parietal;0.143093371757
s6;6;stim;parietal;0.270955810073
s13;5;stim;parietal;0.25262726434099997
s6;5;stim;parietal;0.23917509783399998
s11;5;stim;parietal;0.194215001153
s10;5;stim;parietal;0.253871308297
s9;5;stim;parietal;0.381495102897
s8;5;stim;parietal;0.21285483643300002
s7;5;stim;parietal;0.177629510785
s5;5;stim;parietal;0.26005706923599997
s4;5;stim;parietal;0.460896318187
s3;5;stim;parietal;0.19918833824
s2;5;stim;parietal;0.209354958128
s1;5;stim;parietal;0.476055495497
s0;5;stim;parietal;0.17553169760600001
s13;4;stim;parietal;0.136219459793
s12;4;stim;parietal;0.261283304881
s2;8;stim;parietal;-0.0374066054162
s11;4;stim;parietal;0.0871751702674
s7;2;stim;parietal;-0.0348741834216
s4;2;stim;parietal;-0.0281087303981
s8;4;stim;parietal;0.0931813640265
s7;4;stim;parietal;0.0933092582309
s6;4;stim;parietal;0.136847472437
s5;4;stim;parietal;0.208112190773
s4;4;stim;parietal;0.346774672362
s3;4;stim;parietal;0.0278785465127
s2;4;stim;parietal;0.196461030367
s1;4;stim;parietal;0.287293980823
s0;4;stim;parietal;0.15405788336100001
s13;3;stim;parietal;0.00841751428481
s12;3;stim;parietal;0.185581486022
s11;3;stim;parietal;-0.010137985855899999
s10;3;stim;parietal;0.0458383526337
s9;3;stim;parietal;0.164445987706
s10;4;stim;parietal;0.143985648987
s8;3;stim;parietal;-0.00612280734889
s6;3;stim;parietal;0.027562364835599998
s5;3;stim;parietal;0.0927117312126
s4;3;stim;parietal;0.141458050647
s3;3;stim;parietal;-0.08970777078
s2;3;stim;parietal;0.10891557022199999
s1;3;stim;parietal;0.0922207832283
s0;3;stim;parietal;0.08639892293880001
s13;2;stim;parietal;-0.06291590684659999
s12;2;stim;parietal;0.0772772101448
s11;2;stim;parietal;-0.0590890319945
s10;2;stim;parietal;0.0117514891824
s9;2;stim;parietal;0.040620181407900004
s8;2;stim;parietal;-0.0499640186404
s5;2;stim;parietal;-0.0174990444292
s3;2;stim;parietal;-0.11056526279000001
s9;4;stim;parietal;0.307250437048
s2;2;stim;parietal;0.00879137477466
s1;2;stim;parietal;-0.035153391354300005
s0;2;stim;parietal;0.00964152991767
s13;1;stim;parietal;-0.0642564530879
s12;1;stim;parietal;0.010624696534
s11;1;stim;parietal;-0.059354144857199996
s10;1;stim;parietal;0.029822198264599996
s9;1;stim;parietal;-0.0127649638126
s8;1;stim;parietal;-0.0495315318358
s7;1;stim;parietal;-0.0238826223038
s6;1;stim;parietal;-0.0373259336173
s5;1;stim;parietal;-0.0639066373872
s4;1;stim;parietal;-0.08217435804039999
s3;1;stim;parietal;-0.0614603544278
s2;1;stim;parietal;-0.0420866174374
s1;1;stim;parietal;-0.0744017875989
s0;1;stim;parietal;-0.0357352139038
s13;0;stim;parietal;-0.042466603073699996
s12;0;stim;parietal;0.00335775487784
s11;0;stim;parietal;-0.0446339217791
s10;0;stim;parietal;0.0526185471798
s9;0;stim;parietal;-0.0183692770271
s8;0;stim;parietal;-0.0343397320837
s7;0;stim;parietal;0.00408135609976
s6;0;stim;parietal;-0.0233191548807
s5;0;stim;parietal;-0.0512277101955
s4;0;stim;parietal;-0.048868504750800006
s3;0;stim;parietal;-0.00857603635283
s2;0;stim;parietal;-0.0344071864202
s5;9;stim;parietal;-0.0748428067959
s0;13;stim;parietal;-0.05526368072769999
s6;16;stim;parietal;-0.039950784210800006
s10;4;stim;frontal;0.0300440528842
s11;4;stim;frontal;0.075957371738
s3;0;stim;frontal;0.0110564879557
s4;0;stim;frontal;-0.0175155017738
s5;0;stim;frontal;-0.0229773510382
s6;0;stim;frontal;-0.00794660736514
s7;0;stim;frontal;-0.0208637774128
s8;0;stim;frontal;0.01885189399
s9;0;stim;frontal;0.00288790240614
s10;0;stim;frontal;0.0743989963727
s11;0;stim;frontal;-0.028422663656
s12;0;stim;frontal;0.038392460917699996
s13;0;stim;frontal;-0.0382661560354
s0;1;stim;frontal;-0.0210536291102
s1;1;stim;frontal;-0.0602726368389
s2;1;stim;frontal;-0.036432999521
s3;1;stim;frontal;-0.0102617412665
s1;0;stim;frontal;-0.046048590200199996
s5;1;stim;frontal;-0.0271789021177
s6;1;stim;frontal;0.00956665177569
s7;1;stim;frontal;-0.0235255792331
s8;1;stim;frontal;-0.00923150443538
s9;1;stim;frontal;-0.005616425879319999
s10;1;stim;frontal;0.0635584004637
s11;1;stim;frontal;-0.046234614754900004
s12;1;stim;frontal;0.044769577296299996
s13;1;stim;frontal;-0.0464925630129
s0;2;stim;frontal;-0.00903763731098
s1;2;stim;frontal;-0.0375198109288
s2;2;stim;frontal;-0.0107439374483
s3;2;stim;frontal;-0.0573062927735
s4;2;stim;frontal;-0.022762958962500003
s5;2;stim;frontal;0.003835642103380001
s6;2;stim;frontal;0.025363154734999997
s7;2;stim;frontal;0.0017951089365799999
s8;2;stim;frontal;-0.042531903615499994
s9;2;stim;frontal;-0.0144415260014
s10;2;stim;frontal;0.0308917221226
s11;2;stim;frontal;-0.055153658518699994
s12;2;stim;frontal;0.0750666129231
s13;2;stim;frontal;-0.024230703115099998
s0;3;stim;frontal;0.026726699906
s1;3;stim;frontal;0.0575983739279
s2;3;stim;frontal;0.0574609669929
s3;3;stim;frontal;-0.07521335597249999
s4;3;stim;frontal;0.120453727716
s5;3;stim;frontal;0.08662940541549999
s6;3;stim;frontal;0.0611197845412
s7;3;stim;frontal;0.0640016003297
s8;3;stim;frontal;-0.047032247436499995
s9;3;stim;frontal;0.00206339929542
s10;3;stim;frontal;0.00959870090631
s11;3;stim;frontal;-0.0149878467224
s12;3;stim;frontal;0.112746171369
s13;3;stim;frontal;0.0483176784389
s0;4;stim;frontal;0.0705575292618
s1;4;stim;frontal;0.202122689315
s2;4;stim;frontal;0.128158046374
s3;4;stim;frontal;-0.00183480915545
s4;4;stim;frontal;0.324264821523
s5;4;stim;frontal;0.186011726948
s6;4;stim;frontal;0.134851244769
s7;4;stim;frontal;0.133497394423
s8;4;stim;frontal;-0.012083165600399999
s9;4;stim;frontal;0.040636219985800005
s4;1;stim;frontal;-0.050523020963399994
s12;4;stim;frontal;0.12304968245100001
s9;9;stim;frontal;-0.09656469547869999
s13;4;stim;frontal;0.147685336045
s1;5;stim;frontal;0.31585962119000005
s2;5;stim;frontal;0.149879208805
s3;5;stim;frontal;0.147985329126
s4;5;stim;frontal;0.455574818936
s5;5;stim;frontal;0.23602540167599997
s6;5;stim;frontal;0.21348405272999998
s7;5;stim;frontal;0.17616070682799995
s8;5;stim;frontal;0.042811448229199994
s9;5;stim;frontal;0.05895263951550001
s10;5;stim;frontal;0.0727310324172
s11;5;stim;frontal;0.160734983232
s12;5;stim;frontal;0.0910269415202
s13;5;stim;frontal;0.211232397262
s0;6;stim;frontal;0.059436141935199985
s1;6;stim;frontal;0.321334601283
s0;5;stim;frontal;0.0853869967994
s3;6;stim;frontal;0.28222157970600004
s4;6;stim;frontal;0.410660972614
s5;6;stim;frontal;0.196370293043
s6;6;stim;frontal;0.246783997558
s7;6;stim;frontal;0.171116812089
s8;6;stim;frontal;0.08611977472760003
s9;6;stim;frontal;0.0328062245407
s10;6;stim;frontal;0.09224495325410001
s11;6;stim;frontal;0.176109444388
s12;6;stim;frontal;0.0327580046721
s13;6;stim;frontal;0.195928278229
s0;7;stim;frontal;0.00799326090472
s1;7;stim;frontal;0.20494333068300002
s2;0;stim;frontal;-0.0169852108573
s3;7;stim;frontal;0.319009013543
s4;7;stim;frontal;0.218513616025
s5;7;stim;frontal;0.08822494738360001
s6;7;stim;frontal;0.20388410364700002
s7;7;stim;frontal;0.12677769874000006
s8;7;stim;frontal;0.102758652532
s9;7;stim;frontal;-0.0182161587995
s10;7;stim;frontal;0.071110215695
s11;7;stim;frontal;0.100876282424
s12;7;stim;frontal;-0.0155974400049
s13;7;stim;frontal;0.114907370649
s0;8;stim;frontal;-0.042792906461899996
s1;8;stim;frontal;0.0366848710068
s2;8;stim;frontal;-0.057302350145699996
s3;8;stim;frontal;0.24830210703400002
s4;8;stim;frontal;0.0109629220321
s5;8;stim;frontal;-0.0257432068711
s6;8;stim;frontal;0.10875302065999999
s7;8;stim;frontal;0.0665348868349
s8;8;stim;frontal;0.0875068441963
s9;8;stim;frontal;-0.0670740370935
s10;8;stim;frontal;0.0282991931797
s11;8;stim;frontal;-0.0173469329493
s12;8;stim;frontal;-0.0415716689544
s13;8;stim;frontal;0.013571183970700002
s0;9;stim;frontal;-0.0701018031155
s1;9;stim;frontal;-0.09276764864949999
s2;9;stim;frontal;-0.0861001606332
s3;9;stim;frontal;0.127788732332
s4;9;stim;frontal;-0.108728887449
s5;9;stim;frontal;-0.09737627624089999
s6;9;stim;frontal;0.008616637023540001
s7;9;stim;frontal;0.0121323837445
s8;9;stim;frontal;0.0468268440164
s2;7;stim;frontal;0.0147630317538
s10;9;stim;frontal;-0.00273381445136
s12;10;stim;frontal;-0.043594006113599995
s12;9;stim;frontal;-0.047257276732
s13;9;stim;frontal;-0.06805024910730001
s0;10;stim;frontal;-0.0604329894039
s1;10;stim;frontal;-0.14330215024
s2;10;stim;frontal;-0.0759355234177
s3;10;stim;frontal;0.0125251224024
s4;10;stim;frontal;-0.132442083726
s5;10;stim;frontal;-0.118450927525
s6;10;stim;frontal;-0.0759612307381
s7;10;stim;frontal;-0.024942025404500003
s8;10;stim;frontal;-0.00869981640303
s9;10;stim;frontal;-0.101177843264
s10;10;stim;frontal;-0.0153564272798
s11;10;stim;frontal;-0.159771972051
s13;10;stim;frontal;-0.110284644256
s6;14;stim;frontal;-0.08851137824510001
s0;11;stim;frontal;-0.0261040613509
s1;11;stim;frontal;-0.13364655005599999
s2;11;stim;frontal;-0.049446353537
s3;11;stim;frontal;-0.0675200493551
s4;11;stim;frontal;-0.107947321225
s5;11;stim;frontal;-0.10393681679300001
s6;11;stim;frontal;-0.138152435253
s7;11;stim;frontal;-0.0425787763138
s8;11;stim;frontal;-0.060692043695
