uid,organoid
VT007_066B,DLX_Cheriff
VT007_065C,DLX_Cheriff
VT007_049D,DLX_Cheriff
VT000_028B,DLX_Cheriff
VT000_010C,DLX_Cheriff
VT000_016D,DLX_Cheriff
VT000_019D,DLX_Cheriff
VT000_024D,DLX_Cheriff
VT009_001A,DLX_Cheriff
VT009_005B,DLX_Cheriff
VT006_002A,DLX_Cheriff
VT006_020A,DLX_Cheriff
VT006_010B,DLX_Cheriff
VT006_014C,DLX_Cheriff
VT006_016C,DLX_Cheriff
VT006_019D,DLX_Cheriff
VT004_102B,DLX_Cheriff
VT004_157C,DLX_Cheriff
VT004_177D,DLX_Cheriff
VT014_000A,DLX_Cheriff
VT014_001A,DLX_Cheriff
VT014_015C,DLX_Cheriff
VT014_008E,DLX_Cheriff
VT014_009E,DLX_Cheriff
VT014_011F,DLX_Cheriff
VT014_013F,DLX_Cheriff
VT017_023C,DLX_Cheriff
VT002_000A,DLX_Cheriff
VT002_001A,DLX_Cheriff
VT002_026A,DLX_Cheriff
VT002_004A,DLX_Cheriff
VT002_013B,DLX_Cheriff
VT002_028B,DLX_Cheriff
VT002_029B,DLX_Cheriff
VT002_023D,DLX_Cheriff
VT002_024D,DLX_Cheriff
VT003_018A,DLX_Cheriff
VT003_007B,DLX_Cheriff
VT003_009C,DLX_Cheriff
VT003_011C,DLX_Cheriff
VT003_013D,DLX_Cheriff
VT011_001B,DLX_Cheriff
VT011_002B,DLX_Cheriff
VT018_043A,DLX_Cheriff
VT005_001B,DLX_Cheriff
VT005_012D,DLX_Cheriff
VT005_013D,DLX_Cheriff
VT010_004A,DLX_Cheriff
VT001CNQX_014A,DLX_Cheriff
VT001CNQX_084B,DLX_Cheriff
VT001_014A,DLX_Cheriff
VT001_003A,DLX_Cheriff
VT001_005A,DLX_Cheriff
VT001_006A,DLX_Cheriff
VT001_009C,DLX_Cheriff
VT008_001A,DLX_Cheriff
VT008_015A,DLX_Cheriff
VT008_003B,DLX_Cheriff
VT008_011D,DLX_Cheriff
VT017e2r2_020F,DLX_Cheriff
VT013_012B,DLX_Cheriff
VT013_016B,DLX_Cheriff
VT013_023C,DLX_Cheriff
VT013_034C,DLX_Cheriff
VT013_048C,DLX_Cheriff
FS007opto_011B,DLX_bluered
FS007opto_015B,DLX_bluered
FS007opto_032B,DLX_bluered
FS003_055B,DLX_bluered
FS003_113C,DLX_bluered
FS003_124D,DLX_bluered
FS003_250D,DLX_bluered
FS003_252E,DLX_bluered
FS010_026C,DLX_bluered
FS010_027C,DLX_bluered
FS010_044C,DLX_bluered
